Threshold,Frequent Set Count,Execution Time,Chunk Size,Chunk Percent
1.0,70.0,197.41010665893555,881.0,1.0
1.0,88.0,981.4121723175049,4408.0,5.0
1.0,85.0,2091.766119003296,8816.0,10.0
1.0,81.0,4690.768003463745,17632.0,20.0
1.0,73.0,8471.747875213623,26448.0,30.0
1.0,72.0,11651.961088180542,35264.0,40.0
1.0,67.0,15915.974140167236,44081.0,50.0
1.0,62.0,19881.953954696655,52897.0,60.0
1.0,57.0,23539.4389629364,61713.0,70.0
1.0,58.0,28390.524864196777,70529.0,80.0
1.0,58.0,34650.73490142822,79345.0,90.0
1.0,58.0,39430.87410926819,88162.0,100.0
5.0,8.0,148.0557918548584,881.0,1.0
5.0,9.0,576.7009258270264,4408.0,5.0
5.0,9.0,1467.886209487915,8816.0,10.0
5.0,9.0,3588.131904602051,17632.0,20.0
5.0,9.0,6551.545143127441,26448.0,30.0
5.0,9.0,9453.783988952637,35264.0,40.0
5.0,9.0,13311.513185501099,44081.0,50.0
5.0,8.0,16675.9672164917,52897.0,60.0
5.0,7.0,20123.965978622437,61713.0,70.0
5.0,7.0,23772.618055343628,70529.0,80.0
5.0,7.0,28642.199993133545,79345.0,90.0
5.0,7.0,33264.68014717102,88162.0,100.0
10.0,5.0,152.22811698913574,881.0,1.0
10.0,4.0,573.1260776519775,4408.0,5.0
10.0,4.0,1460.30592918396,8816.0,10.0
10.0,4.0,3576.752185821533,17632.0,20.0
10.0,5.0,6543.94793510437,26448.0,30.0
10.0,4.0,9465.721130371094,35264.0,40.0
10.0,4.0,13662.105798721313,44081.0,50.0
10.0,4.0,17084.571838378906,52897.0,60.0
10.0,4.0,20249.157190322876,61713.0,70.0
10.0,3.0,24194.616079330444,70529.0,80.0
10.0,3.0,30018.868923187256,79345.0,90.0
10.0,4.0,34767.34185218811,88162.0,100.0
