#,Threshold,Support,Chunk Size,Bucket Size,Frequent Set Count,Run Time
1,1,8,881,0.01,90,65.02175331115723
2,1,44,4408,0.05,94,405.1673412322998
3,1,88,8816,0.1,87,823.1766223907471
4,1,176,17632,0.2,83,1624.133586883545
5,1,264,26448,0.3,73,2482.8622341156006
6,1,352,35264,0.4,72,3500.173807144165
7,1,440,44081,0.5,67,4275.623798370361
8,1,528,52897,0.6,62,4990.196466445923
9,1,617,61713,0.7,57,5841.753721237183
10,1,705,70529,0.8,58,6779.15358543396
11,1,793,79345,0.9,58,7651.643753051758
12,1,881,88162,1.0,58,8494.574069976807
13,5,44,881,0.01,8,132.92646408081055
14,5,220,4408,0.05,9,385.77842712402344
15,5,440,8816,0.1,9,821.4576244354248
16,5,881,17632,0.2,9,1738.3100986480713
17,5,1322,26448,0.3,9,2544.389486312866
18,5,1763,35264,0.4,9,3344.8445796966553
19,5,2204,44081,0.5,9,4316.410779953003
20,5,2644,52897,0.6,8,4983.206748962402
21,5,3085,61713,0.7,7,5859.344005584717
22,5,3526,70529,0.8,7,6710.948705673218
23,5,3967,79345,0.9,7,7576.646327972412
24,5,4408,88162,1.0,7,8557.626962661743
25,10,88,881,0.01,5,134.54055786132812
26,10,440,4408,0.05,4,400.77781677246094
27,10,881,8816,0.1,4,820.4994201660156
28,10,1763,17632,0.2,4,1731.013298034668
29,10,2644,26448,0.3,5,2511.2991333007812
30,10,3526,35264,0.4,4,3378.755569458008
31,10,4408,44081,0.5,4,4264.406681060791
32,10,5289,52897,0.6,4,5074.497699737549
33,10,6171,61713,0.7,4,5863.762855529785
34,10,7052,70529,0.8,3,6811.229467391968
35,10,7934,79345,0.9,3,7774.110555648804
36,10,8816,88162,1.0,4,8630.881071090698
