threshold,support,chunk_size,frequent_items,time
0.01,8,881,1,8.011102676391602
0.01,44,4408,0,21.969079971313477
0.01,88,8816,0,37.52613067626953
0.01,176,17632,1,70.9078311920166
0.01,264,26448,0,108.53385925292969
0.01,352,35264,0,155.48062324523926
0.01,440,44081,0,173.33507537841797
0.01,528,52897,0,227.65111923217773
0.01,617,61713,1,260.8461380004883
0.01,705,70529,1,278.980016708374
0.01,793,79345,1,329.44202423095703
0.01,881,88162,0,381.6530704498291
0.05,44,881,0,11.209964752197266
0.05,220,4408,0,20.828962326049805
0.05,440,8816,0,37.94384002685547
0.05,881,17632,0,71.83408737182617
0.05,1322,26448,0,110.53991317749023
0.05,1763,35264,0,149.64890480041504
0.05,2204,44081,0,176.23186111450195
0.05,2644,52897,0,215.82484245300293
0.05,3085,61713,0,258.8386535644531
0.05,3526,70529,0,295.8970069885254
0.05,3967,79345,0,347.3367691040039
0.05,4408,88162,0,371.64902687072754
0.1,88,881,0,11.039018630981445
0.1,440,4408,0,21.51775360107422
0.1,881,8816,0,37.962913513183594
0.1,1763,17632,0,71.02179527282715
0.1,2644,26448,0,115.02790451049805
0.1,3526,35264,0,137.96401023864746
0.1,4408,44081,0,175.4169464111328
0.1,5289,52897,0,210.1759910583496
0.1,6171,61713,0,266.1409378051758
0.1,7052,70529,0,298.1703281402588
0.1,7934,79345,0,331.9511413574219
0.1,8816,88162,0,351.46117210388184
