#,threshold,support,chunk_size,c_%,f_items,time
1,0.01,7,881,0.01,90,107.73992538452148
2,0.01,43,4408,0.05,94,641.6077613830566
3,0.01,87,8816,0.1,87,1221.2390899658203
4,0.01,175,17632,0.2,83,2369.357109069824
5,0.01,263,26448,0.3,73,3644.6590423583984
6,0.01,351,35264,0.4,72,4900.623798370361
7,0.01,439,44081,0.5,67,6068.744897842407
8,0.01,527,52897,0.6,62,7268.481969833374
9,0.01,616,61713,0.7,57,8637.848138809204
10,0.01,704,70529,0.8,58,10417.878150939941
11,0.01,792,79345,0.9,58,11408.89286994934
12,0.01,880,88162,1,58,14080.757856369019
13,0.05,43,881,0.01,8,74.54490661621094
14,0.05,219,4408,0.05,9,487.90454864501953
15,0.05,439,8816,0.1,9,1008.530855178833
16,0.05,880,17632,0.2,9,2296.9326972961426
17,0.05,1321,26448,0.3,9,2945.6558227539062
18,0.05,1762,35264,0.4,9,3962.979793548584
19,0.05,2203,44081,0.5,9,5037.348031997681
20,0.05,2643,52897,0.6,8,6033.262252807617
21,0.05,3084,61713,0.7,7,7056.077003479004
22,0.05,3525,70529,0.8,7,7945.2948570251465
23,0.05,3966,79345,0.9,7,9346.437931060791
24,0.05,4407,88162,1,7,10574.169158935547
25,0.1,87,881,0.01,5,76.05814933776855
26,0.1,439,4408,0.05,4,502.96759605407715
27,0.1,880,8816,0.1,4,963.1681442260742
28,0.1,1762,17632,0.2,4,1898.9920616149902
29,0.1,2643,26448,0.3,5,3094.5920944213867
30,0.1,3525,35264,0.4,4,4453.41682434082
31,0.1,4407,44081,0.5,4,5157.1550369262695
32,0.1,5288,52897,0.6,4,6046.199083328247
33,0.1,6170,61713,0.7,4,7032.56893157959
34,0.1,7051,70529,0.8,3,7991.47629737854
35,0.1,7933,79345,0.9,3,9355.458974838257
36,0.1,8815,88162,1,4,11003.77607345581
