#,threshold,support,chunk_size,c_%,buckets,f_items,time
1,0.01,7,881,0.01,5924,90,108.31308364868164
2,0.01,43,4408,0.05,13562,94,647.9940414428711
3,0.01,87,8816,0.1,16690,87,1213.2248878479004
4,0.01,175,17632,0.2,19822,83,2350.353717803955
5,0.01,263,26448,0.3,23362,73,3757.5087547302246
6,0.01,351,35264,0.4,25412,72,4896.255016326904
7,0.01,439,44081,0.5,27914,67,6120.304822921753
8,0.01,527,52897,0.6,29116,62,7250.802755355835
9,0.01,616,61713,0.7,30150,57,8362.691164016724
10,0.01,704,70529,0.8,30990,58,9601.569890975952
11,0.01,792,79345,0.9,31964,58,11137.86792755127
12,0.01,880,88162,1,32938,58,12645.848035812378
13,0.05,43,881,0.01,5924,8,71.79021835327148
14,0.05,219,4408,0.05,13562,9,478.97791862487793
15,0.05,439,8816,0.1,16690,9,938.1077289581299
16,0.05,880,17632,0.2,19822,9,1861.5469932556152
17,0.05,1321,26448,0.3,23362,9,2886.7571353912354
18,0.05,1762,35264,0.4,25412,9,3909.428834915161
19,0.05,2203,44081,0.5,27914,9,4922.008037567139
20,0.05,2643,52897,0.6,29116,8,5932.714939117432
21,0.05,3084,61713,0.7,30150,7,7089.831113815308
22,0.05,3525,70529,0.8,30990,7,8475.368022918701
23,0.05,3966,79345,0.9,31964,7,9547.549724578857
24,0.05,4407,88162,1,32938,7,10365.050077438354
25,0.1,87,881,0.01,5924,5,69.63205337524414
26,0.1,439,4408,0.05,13562,4,473.24395179748535
27,0.1,880,8816,0.1,16690,4,954.5788764953613
28,0.1,1762,17632,0.2,19822,4,1866.811990737915
29,0.1,2643,26448,0.3,23362,5,2930.459976196289
30,0.1,3525,35264,0.4,25412,4,3931.27703666687
31,0.1,4407,44081,0.5,27914,4,4941.632986068726
32,0.1,5288,52897,0.6,29116,4,5926.468849182129
33,0.1,6170,61713,0.7,30150,4,6886.688947677612
34,0.1,7051,70529,0.8,30990,3,7968.592882156372
35,0.1,7933,79345,0.9,31964,3,9303.863763809204
36,0.1,8815,88162,1,32938,4,10322.02696800232
